Matched FormulaChange,count
(+CH2),71
(+C2H4),51
(H2+O),23
(O),23
(+H2O),21
(CO-O/CH2-H2),19
NH3,18
(+C2H2)/ (+C2H2O-O),18
(H2),17
(+O+CH2),17
(C4H8),15
(+H2+ C2H2O),13
(3*CH2),10
(+CO)/(+OCH2-H2),10
(-C5H8O2),8
(+C2H2O),8
(+H2+C2H4),8
(+SO3),7
(C2H2O-H2O),7
(-2H2),7
(-CO2),6
(+C6H8O6),6
(C2H5NO2),6
(+CH2+CO2),6
(+C4H6O),6
(+H2+CH2),5
(-C2H4-CO2),5
(-CH2+O),5
(+2O),5
(+C5NH11),5
(+H2+ OCH2)/(-CH2-H2O),4
(+C2H2O+C2H2O),4
(+H2+ H2O),4
(+CH2+SO3),4
(+O2-H2),4
(+CO-H2),3
(+CH2+C2H2O),3
(2*H2O),3
(H2O-CH2),3
(-C5H8O),2
(-CO-CO),2
(-CH2+2H2O),2
(-C5H8),2
(-CO-C2H2O),2
(OCH2+OCH2),2
(O+OCH2),2
(+C2H2O-H2),2
(+O+H2O),2
(+NH),2
(+H3PO4),2
(+C5H7NO3S),1
(+C6H5-H),1
(C6H10O5),1
(+C7H13NO2),1
(-NH2+OH),1
Na-H,1
(+O3),1
(+C4H4O),1
(+C2H3NO),1
(CO-H2O),1
(+H2+3O),1
